Board Name,List Name,Card Name,Description,Checklist Items,Labels,Due Date
Instant Qualifier - Documentación Maestra,📚 READMEs y Documentos,README Principal,"Documento maestro de Instant Qualifier

• Posicionamiento: Especialista en Pre-Cualificación de Leads con IA
• ICP: Experto con equipo de ventas ($2K-$20K tickets)
• Pricing: Setup $2K + $500-800/mes
• Stack: Vapify + Vapi.ai + GHL
• Metodología: The Closing Code Integration

Ubicación: /README.md","","Referencia,Estrategia",
Instant Qualifier - Documentación Maestra,📚 READMEs y Documentos,The Closing Code Integration,"Metodología completa de integración

PILAR 1: Perfiles Adaptativos
• Impulsivo Emocional vs Racional Evasivo
• Detección en 15 segundos
• Adaptación de guion en tiempo real

PILAR 2: Manejo de Objeciones
• No descalificar a la primera
• Técnicas de re-enganche
• 3 objeciones principales con respuestas

PILAR 3: Brief Pre-Llamada
• Template completo para closer
• Perfil + Pain point + Estrategia
• Ventaja táctica antes de llamar

PILAR 4: Closing Coach AI
• Análisis post-cierre
• Reporte semanal
• Upsell $200/mes

Ubicación: /docs/THE_CLOSING_CODE_INTEGRATION.md","","Referencia,Metodología",
Instant Qualifier - Documentación Maestra,📚 READMEs y Documentos,Setup Vapify - Guía Técnica,"Setup completo de cliente en 15 minutos

PASO 1: Crear Sub-cuenta en Vapify (2 min)
PASO 2: Configurar Assistant en Vapi (5 min)
PASO 3: Configurar Teléfono
PASO 4: Conectar GHL (3 min)
PASO 5: Configurar Webhook de Retorno (3 min)
PASO 6: Prueba End-to-End (5 min)

Includes: System prompt completo con perfiles + objeciones
Troubleshooting y escalado

Ubicación: /docs/SETUP_VAPIFY.md","","Referencia,Técnico",
Instant Qualifier - Documentación Maestra,📚 READMEs y Documentos,Jarvis Brief Maestro,"Documento completo para OpenClaw (Jarvis)

CONTEXTO:
• Empezando desde 0 (redes en 0, sin contactos)
• OpenClaw: Gateway WhatsApp/Telegram/Discord para IA
• Jarvis = Agent personal de productividad

CATEGORÍAS DE TAREAS:
1. Contenido (Diario) - Posts LinkedIn, Tweets, Threads
2. Outreach (Semanal) - Identificar prospects, DMs
3. Ventas (Cuando haya leads) - Discovery, propuestas
4. Operaciones (Por cliente) - Reportes, optimización

Includes: 4 prompts clave, KPIs, metas 90 días

Ubicación: /docs/JARVIS_BRIEF_MAESTRO.md","","Referencia,Automatización",
Instant Qualifier - Documentación Maestra,📝 Marketing y Copy,Estrategia de Marca,"ICP y estrategia de contenido

ICP: El Experto con Equipo de Ventas
• Factura $20K-$200K/mes
• Tiene 1-3 closers
• Usa GHL
• Pain: closer quemado, 60% llamadas improductivas

POSICIONAMIENTO:
• Especialista en Pre-Cualificación de Leads con IA
• NO: 'Vendo software'
• SÍ: 'Implemento sistemas de pre-cualificación'

PILARES DE CONTENIDO:
• 30% Problema del experto
• 40% Solución
• 20% Estrategia de ventas
• 10% Behind the scenes

Ubicación: /marketing/ESTRATEGIA_MARCA.md","","Referencia,Marketing",
Instant Qualifier - Documentación Maestra,📝 Marketing y Copy,Copy Persuasivo,"Copy completo para landing page

SECCIONES:
• Headline principal
• Storytelling del problema
• Revelación de la solución
• Cómo funciona (4 pasos)
• Resultados reales (3 testimonials)
• Pricing (3 niveles)
• 5 objeciones manejadas
• FAQ completo

Includes: Metodología The Closing Code en la narrativa

Ubicación: /marketing/COPY_PERSUASIVO.md","","Referencia,Copy",
Instant Qualifier - Documentación Maestra,📝 Marketing y Copy,Landing Page,"HTML completo - Glassmorphism design

CARACTERÍSTICAS:
• Diseño stark-blue glassmorphism
• Fondo animado con gradientes
• Mockup de llamada en vivo
• Responsive (mobile/desktop)
• Pricing cards
• FAQ accordion
• CTA buttons

Ready for: Vercel/Netlify deploy
Ubicación: /marketing/landing-page/index.html","","Referencia,Diseño",
🎯 Metodología - The Closing Code,Perfil A: Impulsivo Emocional,Características,"Habla rápido
Usa palabras: sentir, emocionado, urgente, necesito
Toma decisiones basadas en emociones
Quiere resultados inmediatos","","Metodología,Perfiles",
🎯 Metodología - The Closing Code,Perfil A: Impulsivo Emocional,Estrategia de Cierre,"1. Validar emoción primero
2. Conectar pain point con resultado emocional
3. Cierre con compromiso emocional
4. Ritmo: Rápido, energético, entusiasta

Frase clave: 'Entiendo que esto es importante para ti...'","","Metodología,Perfiles",
🎯 Metodología - The Closing Code,Perfil B: Racional Evasivo,Características,"Habla lento, pausado
Usa palabras: pensar, analizar, opciones, considerar
Necesita datos, lógica, evidencia
Se protege de compromisos rápidos","","Metodología,Perfiles",
